***
*
*  Exported on: 18.11.2016
*  This data is owned by Butterfly Avionics GmbH and licensed under the CC BY-NC-SA,
*  not to be used for commercial purposes. For more information on commercial licensing visit
*  
*  http://www.openaip.net/commercial-licensing
*  
*  openAIP data is not certified and must not be used for primary navigation or flight planning.
*  NEVER RELY ON OPENAIP DATA. openAIP data contains errors. Using openAIP data may
*  result in serious injury or death, use at your own risk!
*  
*  OPENAIP OFFERS THE WORK AS-IS AND MAKES NO REPRESENTATIONS OR WARRANTIES OF ANY KIND
*  CONCERNING THE WORK, EXPRESS, IMPLIED, STATUTORY OR OTHERWISE, INCLUDING, WITHOUT LIMITATION,
*  WARRANTIES OF TITLE, MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, NONINFRINGEMENT, OR
*  THE ABSENCE OF LATENT OR OTHER DEFECTS, ACCURACY, OR THE PRESENCE OF ABSENCE OF ERRORS,
*  WHETHER OR NOT DISCOVERABLE. SOME JURISDICTIONS DO NOT ALLOW THE EXCLUSION OF IMPLIED
*  WARRANTIES, SO THIS EXCLUSION MAY NOT APPLY TO YOU.
*  
*  EXCEPT TO THE EXTENT REQUIRED BY APPLICABLE LAW, IN NO EVENT WILL OPENAIP BE LIABLE TO YOU ON
*  ANY LEGAL THEORY FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR EXEMPLARY DAMAGES
*  ARISING OUT OF THIS LICENSE OR THE USE OF THE WORK, EVEN IF OPENAIP HAS BEEN ADVISED OF THE
*  POSSIBILITY OF SUCH DAMAGES.
*
***

**************************
*
* OPENAIP NAVAIDS EXPORT
*
* VERSION= 1371698
*
**************************
22,48:26:40N,04:24:59W,93.0M,T,BREST BRETAGNE,Navaid|ID:BGP|Frequency:387/|Range:25 NM |Magnetic declination:-3|Aligned to true north:FALSE
23,49:10:24N,00:27:19W,74.0M,T,CAEN CARPIQUET,Navaid|ID:CAN|Frequency:114.45/|Range:80 NM |Magnetic declination:-0.92415|Aligned to true north:FALSE
24,42:34:37N,08:48:24E,8.0M,T,CALVI SAINTE CATHERINE,Navaid|ID:CV|Frequency:375/|Range:25 NM |Magnetic declination:1.91392|Aligned to true north:FALSE
25,50:13:41N,03:09:05E,67.0M,T,CAMBRAI EPINOY,Navaid|ID:CMB|Frequency:112.6/73X|Range:80 NM |Magnetic declination:0.17028|Aligned to true north:FALSE
26,43:33:37N,06:52:15E,481.0M,T,CANNES TANNERON,Navaid|ID:CNM|Frequency:111.4/|Range:40 NM |Magnetic declination:1.4767|Aligned to true north:FALSE
27,45:52:55N,05:45:26E,1432.0M,T,CHAMBERY,Navaid|ID:CBY|Frequency:115.4/102Y|Range: NM |Magnetic declination:1.10301|Aligned to true north:FALSE
28,45:35:32N,05:53:01E,252.0M,T,CHAMBERY AIX LES BAINS,Navaid|ID:CH|Frequency:346/|Range:25 NM |Magnetic declination:1.38149|Aligned to true north:FALSE
29,48:28:48N,00:59:13E,213.0M,T,CHARTRES LA LOUPE,Navaid|ID:CHW|Frequency:115.2/99X|Range:100 NM |Magnetic declination:-0.38167|Aligned to true north:FALSE
30,48:03:21N,01:22:31E,126.0M,T,CHATEAUDUN,Navaid|ID:CHN|Frequency:/39X|Range:40 NM |Magnetic declination:-0.22306|Aligned to true north:FALSE
31,48:03:33N,01:23:13E,126.0M,T,CHATEAUDUN,Navaid|ID:CAD|Frequency:115.95/106Y|Range:80 NM |Magnetic declination:-0.21992|Aligned to true north:FALSE
32,48:03:48N,01:21:49E,130.0M,T,CHATEAUDUN,Navaid|ID:CDN|Frequency:359.5/|Range:50 NM |Magnetic declination:-0.22934|Aligned to true north:FALSE
33,46:56:12N,01:48:04E,165.0M,T,CHATEAUROUX DEOLS,Navaid|ID:CTX|Frequency:428/|Range:50 NM |Magnetic declination:-0.01078|Aligned to true north:FALSE
34,49:08:16N,03:34:40E,195.0M,T,CHATILLON SUR MARNE,Navaid|ID:CTL|Frequency:117.6/123X|Range:70 NM |Magnetic declination:0.38442|Aligned to true north:FALSE
35,45:47:15N,03:11:32E,321.0M,T,CLERMONT FERRAND AUVERGNE,Navaid|ID:CFA|Frequency:114.35/90Y|Range:100 NM |Magnetic declination:0.46249|Aligned to true north:FALSE
36,45:39:34N,00:18:42W,25.0M,T,COGNAC CHATEAUBERNARD,Navaid|ID:CNA|Frequency:114.65/93Y|Range:100 NM |Magnetic declination:-0.55744|Aligned to true north:FALSE
