***
*
*  Exported on: 18.11.2016
*  This data is owned by Butterfly Avionics GmbH and licensed under the CC BY-NC-SA,
*  not to be used for commercial purposes. For more information on commercial licensing visit
*  
*  http://www.openaip.net/commercial-licensing
*  
*  openAIP data is not certified and must not be used for primary navigation or flight planning.
*  NEVER RELY ON OPENAIP DATA. openAIP data contains errors. Using openAIP data may
*  result in serious injury or death, use at your own risk!
*  
*  OPENAIP OFFERS THE WORK AS-IS AND MAKES NO REPRESENTATIONS OR WARRANTIES OF ANY KIND
*  CONCERNING THE WORK, EXPRESS, IMPLIED, STATUTORY OR OTHERWISE, INCLUDING, WITHOUT LIMITATION,
*  WARRANTIES OF TITLE, MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, NONINFRINGEMENT, OR
*  THE ABSENCE OF LATENT OR OTHER DEFECTS, ACCURACY, OR THE PRESENCE OF ABSENCE OF ERRORS,
*  WHETHER OR NOT DISCOVERABLE. SOME JURISDICTIONS DO NOT ALLOW THE EXCLUSION OF IMPLIED
*  WARRANTIES, SO THIS EXCLUSION MAY NOT APPLY TO YOU.
*  
*  EXCEPT TO THE EXTENT REQUIRED BY APPLICABLE LAW, IN NO EVENT WILL OPENAIP BE LIABLE TO YOU ON
*  ANY LEGAL THEORY FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR EXEMPLARY DAMAGES
*  ARISING OUT OF THIS LICENSE OR THE USE OF THE WORK, EVEN IF OPENAIP HAS BEEN ADVISED OF THE
*  POSSIBILITY OF SUCH DAMAGES.
*
***

**************************
*
* OPENAIP WAYPOINTS EXPORT
*
* VERSION= 1375249
*
**************************
79,47:40:00N,00:52:00E,152.0M,A,AUTHON,|,
80,46:58:16N,04:15:40E,305.0M,A,AUTUN BELLEVUE,|LFQF,
81,47:50:47N,03:29:48E,159.0M,A,AUXERRE BRANCHES,|LFLA,
82,47:00:11N,04:43:58E,414.0M,A,AUXEY DURESSES,|,
83,49:38:03N,00:52:46E,150.0M,A,AUZOUVILLE,|,
84,46:07:41N,00:41:57E,223.0M,A,AVAILLES - LIMOUZINE,|,
85,47:30:07N,03:53:54E,240.0M,A,AVALLON,|LFGE,
86,49:28:50N,04:04:30E,113.0M,A,AVAUX - LES BOURDONS,|,
87,49:06:20N,01:52:41E,136.0M,A,AVERNES,|,
89,43:54:24N,04:54:07E,38.0M,A,AVIGNON CAUMONT,122.600|LFMV,
90,43:59:46N,04:45:16E,45.0M,A,AVIGNON PUJAUT,|LFNT,
91,47:03:25N,02:38:20E,177.0M,A,AVORD,122.100|LFOA,
93,48:39:39N,01:24:21W,8.0M,A,AVRANCHES LE VAL SAINT PERE,|LFRW,
94,46:19:56N,01:02:02E,193.0M,A,AZAT LE RIS,|,
95,49:27:39N,03:50:52E,74.0M,A,AZUR,|,
97,42:47:60N,00:36:00E,618.0M,A,BAGNERES DE LUCHON,|LFCB,
98,48:32:41N,00:23:06W,218.0M,A,BAGNOLES DE L ORNE COUTERNE,|LFAO,
99,48:30:53N,01:38:19E,155.0M,A,BAILLEAU ARMENONVILLE,|LFFL,
100,46:58:05N,05:28:12E,213.0M,A,BALAISEAUX,|,
101,47:35:24N,07:31:45E,256.0M,A,BALE-MULHOUSE,118.300|LFSB,
102,43:09:20N,00:59:43E,425.0M,A,BALESTA NATURE AIRPORT,|,
103,49:07:02N,06:36:28E,398.0M,A,BAMBI AIR CLUB,|,
104,44:02:53N,01:16:59E,78.0M,A,BANADETS,|,
105,46:07:32N,03:17:12E,316.0M,A,BANELLE,|,
106,44:04:15N,05:38:21E,1119.0M,A,BANON,|,
107,43:19:26N,01:50:03E,274.0M,A,BARAIGNE,|,
108,44:23:14N,06:36:33E,1132.0M,A,BARCELONNETTE SAINT PONS,|LFMR,
109,48:52:04N,05:11:03E,274.0M,A,BAR LE DUC LES HAUTS DE CHEE,|LFEU,
110,43:59:32N,06:23:12E,780.0M,A,BARREME,|,
111,48:03:58N,04:24:45E,286.0M,A,BAR SUR SEINE,|LFFR,
112,45:19:39N,00:38:12E,135.0M,A,BAS MEYGNAUD VALEUIL,|,
113,49:23:23N,06:14:22E,147.0M,A,BASSE-HAM,|,
114,43:31:46N,06:18:57E,340.0M,A,BASSE MAURE,|,
115,42:32:60N,09:29:05E,8.0M,A,BASTIA PORETTA,118.000|LFKB,
116,48:48:15N,07:43:42E,165.0M,A,BATZENDORF,|,
118,44:27:45N,00:11:16W,115.0M,A,BAZAS PREAV,123.500|,
119,49:27:42N,05:06:34E,181.0M,A,BEAUCLAIR,|,
120,47:45:12N,01:34:09E,106.0M,A,BEAUGENCY,|,
121,47:33:25N,02:49:33E,135.0M,A,BEAULIEU-SUR-LOIRE,|,
122,44:46:00N,00:43:32E,155.0M,A,BEAUMONT,|,
123,48:08:26N,02:29:31E,86.0M,A,BEAUMONT-EN-GATINAIS,|,
124,43:52:37N,00:58:55E,107.0M,A,BEAUMONT DE LOMAGNE,|,
125,47:00:37N,04:53:47E,200.0M,A,BEAUNE CHALLANGES,|LFGF,
126,47:46:39N,00:33:04W,77.0M,A,BEAUSOLEIL,|,
127,49:27:16N,02:06:46E,109.0M,A,BEAUVAIS TILLE,119.900|LFOB,
128,44:16:23N,00:52:15E,218.0M,A,BEAUVILLE,|,
130,46:53:26N,02:05:17W,3.0M,A,BEAUVOIR FROMENTINE,123.500|LFFO,
131,43:38:23N,03:08:41E,380.0M,A,BEDARIEUX LA TOUR SUR ORB,|LFNX,
132,47:07:54N,00:54:45W,101.0M,A,BEGROLLES EN MAUGES,|,
133,47:42:04N,06:49:51E,417.0M,A,BELFORT CHAUX,|LFGG,
134,46:07:50N,01:04:48E,250.0M,A,BELLAC,|,
135,48:01:20N,02:24:55E,109.0M,A,BELLEGARDE2 PRV,|,
136,46:07:24N,05:48:17E,496.0M,A,BELLEGARDE VOUVRAY,|LFHN,
137,47:19:34N,03:11:56W,54.0M,A,BELLE ILE,|LFEA,
138,46:08:28N,04:42:50E,215.0M,A,BELLEVILLE VILLIE MORGON,|LFHW,
139,45:41:38N,05:41:30E,225.0M,A,BELLEY PEYRIEU,|LFKY,
140,44:46:53N,00:57:27E,241.0M,A,BELVES SAINT PARDOUX,|LFIB,
141,50:25:23N,01:35:31E,10.0M,A,BERCK SUR MER,|LFAM,
143,43:28:20N,00:23:27E,208.0M,A,BERDOUES,|,
144,44:49:28N,00:31:14E,52.0M,A,BERGERAC ROUMANIERE,119.800|LFBE,
145,49:06:09N,00:33:56E,169.0M,A,BERNAY SAINT MARTIN,|LFPD,
146,43:32:12N,05:10:39E,33.0M,A,BERRE LA FARE,118.375|LFNR,
147,49:26:09N,00:21:49E,6.0M,A,BERVILLE-SUR-MER,|,
148,47:12:19N,06:04:50E,387.0M,A,BESANCON LA VEZE,|LFQM,
149,47:16:25N,06:04:59E,246.0M,A,BESANCON THISE,|LFSA,
150,49:35:11N,03:34:33E,79.0M,A,BESNY-LOIZY,|,
151,48:50:37N,01:54:32E,113.0M,A,BEYNES THIVERNAL,|LFPF,
152,43:19:24N,03:21:12E,17.0M,A,BEZIERS VIAS,120.175|LFMU,
153,43:28:06N,01:31:52W,75.0M,A,BIARRITZ BAYONNE ANGLET,118.700|LFBZ,
154,44:44:38N,01:37:06E,328.0M,A,BIGUES 700X30,|,
155,49:19:31N,05:36:33E,237.0M,A,BILLY-SOUS-MANGIENNES,|,
156,49:02:30N,07:14:32E,351.0M,A,BINING,|,
157,43:40:41N,00:24:37E,185.0M,A,BIRAN,|,
158,44:22:05N,01:07:56W,30.0M,A,BISCARROSSE PARENTIS,118.950|LFBS,
161,47:31:31N,01:10:53E,101.0M,A,BLOIS-ONZAIN,|,
162,47:40:47N,01:12:21E,121.0M,A,BLOIS LE BREUIL,|LFOQ,
163,43:14:43N,00:12:47W,302.0M,A,BOEIL BEZING,|,
165,43:20:37N,01:08:28E,259.0M,A,BOIS DE LA PIERRE,|,
166,47:19:60N,06:02:06E,230.0M,A,BONNAY,|,
167,49:16:41N,02:59:42E,145.0M,A,BONNEUIL EN VALOIS,|,
168,49:15:48N,00:22:18E,83.0M,A,BONNEVILLE LA LOUVET,|,
170,44:41:57N,00:35:50W,59.0M,A,BORDEAUX LEOGNAN SAUCATS,|LFCS,
171,44:49:43N,00:42:55W,51.0M,A,BORDEAUX MERIGNAC,118.300|LFBD,
173,44:52:38N,00:28:45W,74.0M,A,BORDEAUX YVRAC,|LFDY,
174,44:24:05N,00:06:39E,86.0M,A,BOUGLON,|,
175,44:17:60N,01:04:03E,243.0M,A,BOULOC,|,
176,50:41:42N,01:34:06E,55.0M,A,BOULOGNE SUR MER,|,
178,47:58:18N,05:44:35E,303.0M,A,BOURBONNE LES BAINS,|,
179,46:12:20N,05:17:31E,261.0M,A,BOURG CEYZERIAT,|LFHS,
181,47:03:39N,02:22:13E,161.0M,A,BOURGES,|LFLD,
183,47:05:03N,00:43:13E,112.0M,A,BOURNAN,|,
184,43:43:60N,02:23:58E,548.0M,A,BOUSCATEL,|,
185,49:04:54N,04:08:15E,114.0M,A,BOUZY,|,
186,44:28:45N,02:45:00E,596.0M,A,BOZOULS,|,
188,46:32:23N,04:47:31E,408.0M,A,BRANCION,|,
189,46:41:30N,01:31:50E,159.0M,A,BRANDES LA PEROUILLE,|,
190,20:59:10S,55:39:52E,76.0M,A,BRAS-PANON,|,
191,44:52:05N,01:17:29E,108.0M,A,BRAULEN,|,
192,48:25:47N,03:16:26E,53.0M,A,BRAY SUR SEINE,|,
193,48:26:50N,04:25:18W,99.0M,A,BREST BRETAGNE,120.100|LFRB,
195,43:53:51N,00:08:35E,138.0M,A,BRETAGNE D ARMAGNAC,|,
197,46:39:39N,00:39:39W,199.0M,A,BREUIL-BARRET,|,
198,48:57:36N,01:26:18E,96.0M,A,BREUILPONT,|,
199,47:36:52N,02:46:55E,164.0M,A,BRIARE-CHATILLON,|LFEI,
200,48:25:50N,04:28:14E,110.0M,A,BRIENNE GRAS,|,
201,48:25:47N,04:28:56E,115.0M,A,BRIENNE LE CHATEAU,|LFFN,
202,46:21:56N,01:04:58E,190.0M,A,BRIGUEIL,|,
203,45:19:26N,03:21:30E,453.0M,A,BRIOUDE BEAUMONT,|LFHR,
206,45:02:23N,01:29:08E,310.0M,A,BRIVE SOUILLAC,121.125|LFSL,
207,48:58:36N,03:22:23E,168.0M,A,BROCHOT,|,
208,48:14:18N,01:10:01E,185.0M,A,BROU - LA BRETONNIËRE,|,
209,47:19:00N,05:31:00E,208.0M,A,BROYE LES PESMES AIRPORT,|LFYH,
210,43:30:30N,05:55:20E,283.0M,A,BRUE-AURIAC,|,
211,43:50:04N,00:43:51E,177.0M,A,BRUGNENS,|,
212,43:53:19N,06:03:12E,663.0M,A,BRUNET - LE GRAND LOGISSON,|,
213,48:35:46N,02:19:56E,82.0M,A,BRéTIGNY SUR ORGE AIR BASE,|LFPY,
214,47:25:19N,05:52:19E,313.0M,A,BUCEY LES GY,|,
215,48:21:01N,02:25:28E,128.0M,A,BUNO BONNEVAUX,|LFFB,
216,46:56:58N,00:40:10E,112.0M,A,BUXEUIL SAINT RéMY SUR CREUSE,|,
217,43:46:05N,01:36:18E,122.0M,A,BUZET SUR TARN,|,
218,46:51:51N,03:20:05E,233.0M,A,BéARD,|,
219,44:25:14N,00:17:39E,40.0M,A,BéNéZIT FAUILLET,|,
220,48:18:01N,00:34:51E,155.0M,A,BéZARDIERES,|,
221,44:36:54N,00:34:32W,63.0M,A,CABANAC,|,
222,44:30:53N,01:35:33E,350.0M,A,CABRERET,|,
224,49:10:24N,00:27:00W,78.0M,A,CAEN CARPIQUET,134.525|LFRK,
225,44:21:02N,01:28:43E,278.0M,A,CAHORS LALBENQUE,|LFCC,
226,50:57:39N,01:57:05E,4.0M,A,CALAIS DUNKERQUE,128.925|LFAC,
227,42:31:28N,08:47:35E,64.0M,A,CALVI SAINTE CATHERINE,123.2|LFKC,
229,20:57:48S,55:16:53E,13.0M,A,CAMBAIE,|,
230,50:13:09N,03:09:08E,78.0M,A,CAMBRAI EPINOY,118.525|LFQI,
231,50:08:33N,03:15:54E,95.0M,A,CAMBRAI NIERGNIES,118.525|LFYG,
232,43:30:34N,01:06:10W,65.0M,A,CAME,|,
233,44:26:06N,00:01:12E,100.0M,A,CAMPIN,|,
234,43:32:47N,06:57:15E,4.0M,A,CANNES MANDELIEU,118.625|LFMD,
236,49:04:23N,06:50:26E,289.0M,A,CAPPEL,|,
238,43:12:58N,02:18:31E,132.0M,A,CARCASSONNE SALVAZA,121.000|LFMK,
239,42:10:33N,08:36:33E,5.0M,A,CARGèSE,|,
240,44:58:01N,01:15:03E,251.0M,A,CARLUCET CREPIN,123.500|,
241,44:01:21N,05:05:24E,118.0M,A,CARPENTRAS,|LFNH,
243,44:10:42N,02:31:04E,617.0M,A,CASSAGNE BEGONHES,|LFIG,
244,44:24:41N,00:27:33E,186.0M,A,CASTELMORON,|,
245,43:18:40N,01:55:12E,169.0M,A,CASTELNAUDARY VILLENEUVE,|LFMW,
246,43:16:39N,00:31:10E,302.0M,A,CASTELNAU MAGNOAC,|LFDQ,
247,44:05:09N,01:07:37E,74.0M,A,CASTELSARRASIN MOISSAC,|LFCX,
249,44:41:57N,00:38:16E,127.0M,A,CASTILLONCS AERO,123.500|,
251,43:33:18N,02:17:26E,239.0M,A,CASTRES MAZAMET,|LFCK,
252,44:06:15N,00:43:37E,116.0M,A,CAUDECOSTE,|,
